month,state,sessions
2026-04,Arkansas,13
2026-04,California,1703
2026-04,Colorado,86
2026-04,Connecticut,47
2026-04,Delaware,9
2026-04,District of Columbia,52
2026-04,Florida,303
2026-04,Georgia,155
2026-04,Hawaii,9
2026-04,Idaho,17
2026-04,Illinois,282
2026-04,Indiana,48
2026-04,Iowa,739
2026-04,Kansas,21
2026-04,Kentucky,17
2026-04,Louisiana,34
2026-04,Maine,19
2026-04,Maryland,84
2026-04,Massachusetts,160
2026-04,Michigan,95
2026-04,Minnesota,81
2026-04,Mississippi,4
2026-04,Missouri,119
2026-04,Montana,5
2026-04,Nebraska,57
2026-04,Nevada,45
2026-04,New Hampshire,6
2026-04,New Jersey,9093
2026-04,New Mexico,10
2026-04,New York,1368
2026-04,North Carolina,169
2026-04,North Dakota,3
2026-04,Ohio,106
2026-04,Oklahoma,26
2026-04,Oregon,406
2026-04,Pennsylvania,146
2026-04,Rhode Island,19
2026-04,South Carolina,233
2026-04,South Dakota,2
2026-04,Tennessee,98
2026-04,Texas,526
2026-04,Utah,78
2026-04,Vermont,3
2026-04,Virginia,541
2026-04,Washington,287
2026-04,West Virginia,4
2026-04,Wisconsin,51
2026-04,Wyoming,4
2026-05,Unknown,1220
2026-05,Alabama,52
2026-05,Alaska,7
2026-05,Arizona,120
2026-05,Arkansas,21
2026-05,California,1837
2026-05,Colorado,128
2026-05,Connecticut,60
2026-05,Delaware,18
2026-05,District of Columbia,77
2026-05,Florida,272
2026-05,Georgia,828
2026-05,Hawaii,25
2026-05,Idaho,14
2026-05,Illinois,290
2026-05,Indiana,79
2026-05,Iowa,813
2026-05,Kansas,22
2026-05,Kentucky,27
2026-05,Louisiana,40
2026-05,Maine,16
2026-05,Maryland,115
2026-05,Massachusetts,183
2026-05,Michigan,80
2026-05,Minnesota,93
2026-05,Mississippi,8
2026-05,Missouri,141
2026-05,Montana,4
2026-05,Nebraska,93
2026-05,Nevada,36
2026-05,New Hampshire,11
2026-05,New Jersey,11483
2026-05,New Mexico,23
2026-05,New York,1110
2026-05,North Carolina,350
2026-05,North Dakota,4
2026-05,Ohio,134
2026-05,Oklahoma,29
2026-05,Oregon,793
2026-05,Pennsylvania,162
2026-05,Rhode Island,17
2026-05,South Carolina,2198
2026-05,South Dakota,12
2026-05,Tennessee,362
2026-05,Texas,569
2026-05,Utah,99
2026-05,Vermont,9
2026-05,Virginia,716
2026-05,Washington,303
2026-05,West Virginia,8
2026-05,Wisconsin,36
2026-05,Wyoming,1
